"stationID","latitude","longitude","elevation","state","stationName","lcc_x","lcc_y","Xelevation","XlogElev","PR","logPR"
"USC00010160",32.9453,-85.9481,195.1,"AL","ALEXANDER CITY                ",-99.161409978944,-22.6158616831843,195.1,5.32349766507834,3.72493150684932,1.31504846423947
"USC00010390",34.7753,-86.9508,210,"AL","ATHENS                        ",-100.286407014452,-20.6875998047668,210,5.39362754635236,4.31753424657534,1.46268446304553
"USC00010425",32.5992,-85.4653,166.1,"AL","AUBURN NO.2                   ",-98.6705146517361,-22.9492962898361,166.1,5.17105201550216,3.78547945205479,1.33117255048013
"USC00010655",34.6892,-86.8819,183.8,"AL","BELLE MINA 2 N                ",-100.214747571488,-20.7766240403687,183.8,5.26682669945667,3.71534246575342,1.31247085851141
"USC00010748",33.6972,-87.6489,150.3,"AL","BERRY 3 NW                    ",-100.814511763205,-21.9376877501903,150.3,5.07704705961551,4.41835616438356,1.48576771840398
"USC00010823",32.6625,-86.7244,134.1,"AL","BILLINGSLEY                   ",-99.8512598669178,-23.0029730326041,134.1,4.97050750300548,4.67095890410959,1.54136438338869
"USC00011288",33.0944,-86.7456,161.5,"AL","CALERA                        ",-99.9179707255239,-22.5268589201765,161.5,5.14458326660599,4.43452054794521,1.48941950347911
"USC00011620",33.285,-86.3431,127.4,"AL","CHILDERSBURG WTP              ",-99.5665986944142,-22.2786337577526,127.4,4.92289637978825,3.93561643835616,1.37006752483685
"USC00013160",32.8347,-88.1342,38.1,"AL","GAINESVILLE LOCK              ",-101.182210779907,-22.9312340762482,38.1,3.87328217711172,4.06575342465753,1.40259907014483
"USC00013519",31.79,-86.6086,104.2,"AL","GREENVILLE                    ",-99.6469007276998,-23.9590902961068,104.2,4.73795129722191,4.55945205479452,1.51720245288384
"USC00013781",33.2725,-86.8336,146.3,"AL","HELENA                        ",-100.018704182166,-22.3377852218657,146.3,5.05177723742743,3.84821917808219,1.34761049014243
"USC00014502",32.9069,-85.4336,225.6,"AL","LAFAYETTE 2W                  ",-98.6793535050489,-22.6058266342408,225.6,5.46213545177743,3.67287671232877,1.30097520034137
"USC00015121",32.4714,-87.2314,61,"AL","MARION JUNCTION 2 NE          ",-100.304351003087,-23.2599333638733,61,4.26267987704132,3.85205479452055,1.34860671878812
"USC00015172",32.2603,-86.0003,57.9,"AL","MATHEWS                       ",-99.129131022117,-23.3789952325534,57.9,4.21803603456465,3.28712328767123,1.1900128016365
"USC00015435",33.575,-88.0344,83.8,"AL","MILLPORT 2 E                  ",-101.158065787664,-22.1034831160801,83.8,4.54116485601218,3.16739726027397,1.15291019709878
"USC00015553",32.26,-86.2181,68.6,"AL","MONTGOMERY 6SW                ",-99.3330530552198,-23.400800436011,68.6,4.36437169943516,3.8386301369863,1.34511556779469
"USC00015635",34.4883,-87.2989,189.6,"AL","MOULTON 2                     ",-100.572906161269,-21.0342535173376,189.6,5.29631536387736,4.29041095890411,1.45638252296826
"USC00016196",34.5528,-86.445,179.8,"AL","OWENS CROSS ROADS 3S          ",-99.8029893818156,-20.8878398550849,179.8,5.24597088617583,3.63479452054795,1.29055258134038
"USC00016988",30.5653,-87.7017,49.1,"AL","ROBERTSDALE                   ",-100.558686857651,-25.4173544801717,49.1,4.07923092441205,5.1041095890411,1.6300460170191
"USC00017999",33.2053,-86.2114,149.4,"AL","SYLACAUGA 4 NE                ",-99.4357129550903,-22.3541551863805,149.4,5.07141676635611,4.08493150684932,1.40730496118225
"USC00018024",33.4164,-86.135,136.6,"AL","TALLADEGA                     ",-99.389540401737,-22.1134423213136,136.6,4.98770778945255,3.86027397260274,1.35073815831619
"USC00018038",32.4392,-86.2025,53.9,"AL","TALLAPOOSA WTR PLT            ",-99.339127933506,-23.2008489967155,53.9,4.15731936138349,4.37780821917808,1.47654819256285
"USC00018469",34.5686,-85.6064,341.7,"AL","VALLEY HEAD                   ",-99.0430777802006,-20.7895044956252,341.7,5.86277853947994,4.38438356164384,1.47804903706945
"USC00020080",32.3697,-112.86,533.7,"AZ","AJO                           ",-124.283856288779,-22.2091796965043,533.7,6.29839762415187,0.402465753424658,-0.91014527040266
"USC00020678",35.2303,-111.8222,2179.9,"AZ","BELLEMONT WFO                 ",-122.761815402708,-19.2608076270093,2179.9,7.69161115966754,0.808493150684932,-0.212583071633598
"USC00020750",36.6778,-110.5411,2220.8,"AZ","BETATAKIN                     ",-121.357281255309,-17.8765423490981,2220.8,7.7101155445154,0.227671232876712,-1.47985265172109
"USC00021248",36.1533,-109.5394,1709.9,"AZ","CANYON DE CHELLY              ",-120.567688775562,-18.590702732122,1709.9,7.45002142858245,0.201643835616438,-1.60125232784766
"USC00021330",32.3222,-110.4147,973.5,"AZ","CASCABEL                      ",-122.028752624638,-22.6639675879267,973.5,6.89111763782911,0.879452054794521,-0.128456230452476
"USC00021664",32.0061,-109.3572,1615.4,"AZ","CHIRICAHUA NM                 ",-121.098929346409,-23.1673258344543,1615.4,7.3935092183191,1.18876712328767,0.172916739221814
"USC00022109",34.305,-112.165,1149.4,"AZ","CORDES                        ",-123.252689095351,-20.2144642807761,1149.4,7.05565790890563,0.706027397260274,-0.348101235924172
"USC00022480",32.2844,-110.7314,828.8,"AZ","DESTINY RCH                   ",-122.3296653838,-22.6567384876533,828.8,6.73197229902777,0.863561643835616,-0.146689995598767
"USC00022527",35.2947,-113.3667,1674,"AZ","DIAMOND M RCH                 ",-124.121969473205,-18.9314612950935,1674,7.42892719480227,0.685479452054795,-0.377636755549681
"USC00022754",32.7481,-109.1214,1115.6,"AZ","DUNCAN                        ",-120.756574815438,-22.3835682864905,1115.6,7.02607150580018,0.894520547945206,-0.111467404866006
"USC00022782",33.4192,-111.6444,462.7,"AZ","E MESA                        ",-122.955427366764,-21.2677564740345,462.7,6.15846093779919,0.379178082191781,-0.969749310398922
"USC00023448",34.1111,-111.2758,883.9,"AZ","GISELA                        ",-122.487205349556,-20.5699277310896,883.9,6.79559391209381,0.707945205479452,-0.345388581674045
"USC00023501",33.3947,-110.7933,1115.6,"AZ","GLOBE #3                      ",-122.182178686295,-21.4292398288533,1115.6,7.02607150580018,0.731780821917808,-0.312274233466576
"USC00023668",31.8931,-110.9978,883.9,"AZ","GREEN VALLEY                  ",-122.650224205043,-23.0445870374685,883.9,6.79559391209381,1.14246575342466,0.13318886821631
"USC00024761",34.5031,-114.3603,136.9,"AZ","LAKE HAVASU CITY              ",-125.182211338339,-19.6116039624993,136.9,4.98975208317983,0.0879452054794521,-2.43104132344652
