"longitude","latitude","elevation","slope"
-109.124998728337,36.708334345,1947.0624,-81.0768
-109.083332058337,36.708334345,1823.0088,-142.9512
-109.041665388337,36.708334345,1722.12,-252.984
-108.999998718337,36.708334345,1687.068,-319.1256
-108.958332048337,36.708334345,1700.1744,-227.076
-108.916665378337,36.708334345,1637.9952,-207.8736
-108.874998708337,36.708334345,1602.0288,-252.0696
-108.833332038337,36.708334345,1630.9848,-500.1768
-108.791665368337,36.708334345,1622.1456,-469.0872
-108.749998698337,36.708334345,1598.9808,-406.908
-108.708332028337,36.708334345,1577.9496,-266.0904
-108.666665358337,36.708334345,1575.2064,-167.9448
-108.624998688337,36.708334345,1565.148,-92.0496000000001
-108.583332018337,36.708334345,1566.9768,-47.8535999999999
-108.541665348337,36.708334345,1552.0416,-53.9495999999999
-108.499998678337,36.708334345,1598.0664,37.1856
-108.458332008337,36.708334345,1637.0808,91.1351999999999
-108.416665338337,36.708334345,1609.9536,40.2335999999998
-108.374998668337,36.708334345,1623.06,47.8535999999999
-108.333331998337,36.708334345,1630.0704,80.1623999999999
-108.291665328337,36.708334345,1680.972,117.0432
-108.249998658337,36.708334345,1655.064,123.7488
-108.208331988337,36.708334345,1630.0704,153.0096
-108.166665318337,36.708334345,1639.2144,251.1552
-108.124998648337,36.708334345,1646.2248,418.1856
-108.083331978337,36.708334345,1675.1808,386.1816
-108.041665308337,36.708334345,1693.164,366.9792
-107.999998638337,36.708334345,1671.2184,410.2608
-107.958331968337,36.708334345,1669.9992,348.0816
-107.916665298337,36.708334345,1679.1432,327.9648
-107.874998628337,36.708334345,1694.9928,283.1592
-107.833331958337,36.708334345,1698.9552,373.0752
-107.791665288337,36.708334345,1718.1576,399.8976
-107.749998618337,36.708334345,1818.132,440.7408
-107.708331948337,36.708334345,1970.2272,463.9056
-107.666665278337,36.708334345,1984.248,467.868
-107.624998608337,36.708334345,2004.06,417.8808
-107.583331938337,36.708334345,2020.2144,436.7784
-107.541665268337,36.708334345,1971.1416,464.2104
-107.499998598337,36.708334345,1958.0352,489.8136
-107.458331928337,36.708334345,1964.1312,499.2624
-107.416665258337,36.708334345,2028.1392,554.1264
-107.374998588337,36.708334345,2029.968,718.1088
-107.333331918337,36.708334345,2079.9552,483.108
-107.291665248337,36.708334345,2110.1304,231.9528
-107.249998578337,36.708334345,2143.0488,302.9712
-107.208331908337,36.708334345,2111.0448,205.1304
-107.166665238337,36.708334345,2107.9968,193.8528
-107.124998568337,36.708334345,2134.2096,220.98
-107.083331898337,36.708334345,2168.9568,262.128
-107.041665228337,36.708334345,2194.2552,245.9736
-106.999998558337,36.708334345,2253.0816,213.9696
